"Site","Season","Week","temp"
"D02-JBS1","AP19","Week_6",10.0142857142857
"D02-JBS1","AP19","Week_7",7.4
"D02-JBS1","AP19","Week_8",8.78571428571429
"D02-JBS1","AP19","Week_9",12.5428571428571
"D02-JBS1","JU19","Week_1",14.3571428571429
"D02-JBS1","JU19","Week_2",21.6285714285714
"D02-JBS1","JU19","Week_3",23.5428571428571
"D02-JBS1","JU19","Week_4",22.9285714285714
"D02-JBS1","JU19","Week_5",26.5333333333333
"D02-JBS1","JU19","Week_6",23.1285714285714
"D02-JBS1","JU19","Week_7",22.2571428571429
"D02-JBS1","JU19","Week_8",23.8714285714286
"D02-JBS1","JU19","Week_9",23.0857142857143
"D02-JBS1","OC19","Week_1",21.9090909090909
"D02-JBS1","OC19","Week_2",19.0519480519481
"D02-JBS1","OC19","Week_3",16.9194805194805
"D02-JBS1","OC19","Week_4",12.0038961038961
"D02-JBS1","OC19","Week_5",10.9506493506493
"D02-JBS1","OC19","Week_6",8.71688311688312
"D02-JBS1","OC19","Week_7",4.16753246753247
"D02-JBS1","OC19","Week_8",1.37272727272727
"D02-JBS1","OC19","Week_9",-2.21883116883117
"D02-JBS1","JA20","Week_1",0.672727272727273
"D02-JBS1","JA20","Week_2",5.69480519480519
"D02-JBS1","JA20","Week_3",1.46688311688312
"D02-JBS1","JA20","Week_4",1.04155844155844
"D02-JBS1","JA20","Week_5",-4.66883116883117
"D02-JBS1","JA20","Week_6",0.0805194805194805
"D02-JBS1","JA20","Week_7",1.83766233766234
"D02-JBS1","JA20","Week_8",-1.0961038961039
"D02-JBS1","JA20","Week_9",-3.90714285714286
"D02-MOP1","JA18","Week_1",1.75714285714286
"D02-MOP1","JA18","Week_2",-13.4428571428571
"D02-MOP1","JA18","Week_3",-13.9428571428571
"D02-MOP1","JA18","Week_4",-1.07142857142857
"D02-MOP1","JA18","Week_5",-2.81428571428571
"D02-MOP1","JA18","Week_6",3.41428571428571
"D02-MOP1","JA18","Week_7",-5.21428571428571
"D02-MOP1","JA18","Week_8",-8.22857142857143
"D02-MOP1","JA18","Week_9",-1.15714285714286
"D02-MOP1","AP18","Week_1",1.51428571428571
"D02-MOP1","AP18","Week_2",4.18571428571429
"D02-MOP1","AP18","Week_3",0.0285714285714286
"D02-MOP1","AP18","Week_4",3.62857142857143
"D02-MOP1","AP18","Week_5",2.25714285714286
"D02-MOP1","AP18","Week_6",5.92857142857143
"D02-MOP1","AP18","Week_7",16.5571428571429
"D02-MOP1","AP18","Week_8",12.8428571428571
"D02-MOP1","AP18","Week_9",10.3285714285714
"D02-MOP1","JU18","Week_1",20.3714285714286
"D02-MOP1","JU18","Week_2",21.5285714285714
"D02-MOP1","JU18","Week_3",23.5428571428571
"D02-MOP1","JU18","Week_4",24.1714285714286
"D02-MOP1","JU18","Week_5",23.0571428571429
"D02-MOP1","JU18","Week_6",21.7428571428571
"D02-MOP1","JU18","Week_7",23.3571428571429
"D02-MOP1","JU18","Week_8",24.4142857142857
"D02-MOP1","JU18","Week_9",24.2571428571429
"D02-MOP1","OC18","Week_1",20.2333333333333
"D02-MOP1","OC18","Week_2",16.0428571428571
"D02-MOP1","OC18","Week_3",16.9142857142857
"D02-MOP1","OC18","Week_4",14.1142857142857
"D02-MOP1","OC18","Week_5",7.67142857142857
"D02-MOP1","OC18","Week_6",9
"D02-MOP1","OC18","Week_7",9.18571428571429
"D02-MOP1","OC18","Week_8",3.21428571428571
"D02-MOP1","OC18","Week_9",0.0714285714285715
"D02-MOP1","JA19","Week_1",2.25714285714286
"D02-MOP1","JA19","Week_2",2.2
"D02-MOP1","JA19","Week_3",2.62857142857143
"D02-MOP1","JA19","Week_4",-1.82857142857143
"D02-MOP1","JA19","Week_5",-3.98571428571429
"D02-MOP1","JA19","Week_6",-9.28571428571429
"D02-MOP1","JA19","Week_7",-8.95714285714286
"D02-MOP1","JA19","Week_8",-3.87142857142857
"D02-MOP1","JA19","Week_9",-2.84285714285714
"D02-MOP1","AP19","Week_1",4.11428571428571
"D02-MOP1","AP19","Week_2",3.87142857142857
"D02-MOP1","AP19","Week_3",6.6
"D02-MOP1","AP19","Week_4",7.64285714285714
"D02-MOP1","AP19","Week_5",8.74285714285714
"D02-MOP1","AP19","Week_6",10.0142857142857
"D02-MOP1","AP19","Week_7",7.4
"D02-MOP1","AP19","Week_8",8.78571428571429
"D02-MOP1","AP19","Week_9",12.5428571428571
"D02-MOP1","JU19","Week_1",14.3571428571429
"D02-MOP1","JU19","Week_2",21.6285714285714
"D02-MOP1","JU19","Week_3",23.5428571428571
"D02-MOP1","JU19","Week_4",22.9285714285714
"D02-MOP1","JU19","Week_5",26.5333333333333
"D02-MOP1","JU19","Week_6",23.1285714285714
"D02-MOP1","JU19","Week_7",22.2571428571429
"D02-MOP1","JU19","Week_8",23.8714285714286
"D02-MOP1","JU19","Week_9",23.0857142857143
"D02-MOP1","OC19","Week_1",21.9090909090909
"D02-MOP1","OC19","Week_2",19.0519480519481
"D02-MOP1","OC19","Week_3",16.9194805194805
"D02-MOP1","OC19","Week_4",12.0038961038961
"D02-MOP1","OC19","Week_5",10.9506493506493
"D02-MOP1","OC19","Week_6",8.71688311688312
"D02-MOP1","OC19","Week_7",4.16753246753247
"D02-MOP1","OC19","Week_8",1.37272727272727
"D02-MOP1","OC19","Week_9",-2.21883116883117
"D02-MOP1","JA20","Week_1",0.672727272727273
"D02-MOP1","JA20","Week_2",5.69480519480519
"D02-MOP1","JA20","Week_3",1.46688311688312
"D02-MOP1","JA20","Week_4",1.04155844155844
"D02-MOP1","JA20","Week_5",-4.66883116883117
"D02-MOP1","JA20","Week_6",0.0805194805194805
"D02-MOP1","JA20","Week_7",1.83766233766234
"D02-MOP1","JA20","Week_8",-1.0961038961039
"D02-MOP1","JA20","Week_9",-3.90714285714286
"D02-RCP1","JA18","Week_1",1.75714285714286
"D02-RCP1","JA18","Week_2",-13.4428571428571
"D02-RCP1","JA18","Week_3",-13.9428571428571
"D02-RCP1","JA18","Week_4",-1.07142857142857
"D02-RCP1","JA18","Week_5",-2.81428571428571
"D02-RCP1","JA18","Week_6",3.41428571428571
"D02-RCP1","JA18","Week_7",-5.21428571428571
"D02-RCP1","JA18","Week_8",-8.22857142857143
"D02-RCP1","JA18","Week_9",-1.15714285714286
"D02-RCP1","AP18","Week_1",1.51428571428571
"D02-RCP1","AP18","Week_2",4.18571428571429
"D02-RCP1","AP18","Week_3",0.0285714285714286
"D02-RCP1","AP18","Week_4",3.62857142857143
"D02-RCP1","AP18","Week_5",2.25714285714286
"D02-RCP1","AP18","Week_6",5.92857142857143
"D02-RCP1","AP18","Week_7",16.5571428571429
"D02-RCP1","AP18","Week_8",12.8428571428571
"D02-RCP1","AP18","Week_9",10.3285714285714
"D02-RCP1","JU18","Week_1",20.3714285714286
"D02-RCP1","JU18","Week_2",21.5285714285714
"D02-RCP1","JU18","Week_3",23.5428571428571
"D02-RCP1","JU18","Week_4",24.1714285714286
"D02-RCP1","JU18","Week_5",23.0571428571429
"D02-RCP1","JU18","Week_6",21.7428571428571
"D02-RCP1","JU18","Week_7",23.3571428571429
"D02-RCP1","JU18","Week_8",24.4142857142857
"D02-RCP1","JU18","Week_9",24.2571428571429
"D02-RCP1","OC18","Week_1",20.2333333333333
"D02-RCP1","OC18","Week_2",16.0428571428571
"D02-RCP1","OC18","Week_3",16.9142857142857
"D02-RCP1","OC18","Week_4",14.1142857142857
"D02-RCP1","OC18","Week_5",7.67142857142857
"D02-RCP1","OC18","Week_6",9
"D02-RCP1","OC18","Week_7",9.18571428571429
"D02-RCP1","OC18","Week_8",3.21428571428571
"D02-RCP1","OC18","Week_9",0.0714285714285715
"D02-RCP1","JA19","Week_1",2.25714285714286
"D02-RCP1","JA19","Week_2",2.2
"D02-RCP1","JA19","Week_3",2.62857142857143
"D02-RCP1","JA19","Week_4",-1.82857142857143
"D02-RCP1","JA19","Week_5",-3.98571428571429
"D02-RCP1","JA19","Week_6",-9.28571428571429
"D02-RCP1","JA19","Week_7",-8.95714285714286
"D02-RCP1","JA19","Week_8",-3.87142857142857
"D02-RCP1","JA19","Week_9",-2.84285714285714
"D02-RCP1","AP19","Week_1",4.11428571428571
"D02-RCP1","AP19","Week_2",3.87142857142857
"D02-RCP1","AP19","Week_3",6.6
"D02-RCP1","AP19","Week_4",7.64285714285714
"D02-RCP1","AP19","Week_5",8.74285714285714
"D02-RCP1","AP19","Week_6",10.0142857142857
"D02-RCP1","AP19","Week_7",7.4
"D02-RCP1","AP19","Week_8",8.78571428571429
"D02-RCP1","AP19","Week_9",12.5428571428571
"D02-RCP1","JU19","Week_1",14.3571428571429
"D02-RCP1","JU19","Week_2",21.6285714285714
"D02-RCP1","JU19","Week_3",23.5428571428571
"D02-RCP1","JU19","Week_4",22.9285714285714
"D02-RCP1","JU19","Week_5",26.5333333333333
"D02-RCP1","JU19","Week_6",23.1285714285714
"D02-RCP1","JU19","Week_7",22.2571428571429
"D02-RCP1","JU19","Week_8",23.8714285714286
"D02-RCP1","JU19","Week_9",23.0857142857143
"D02-RCP1","OC19","Week_1",21.9090909090909
"D02-RCP1","OC19","Week_2",19.0519480519481
"D02-RCP1","OC19","Week_3",16.9194805194805
"D02-RCP1","OC19","Week_4",12.0038961038961
"D02-RCP1","OC19","Week_5",10.9506493506493
"D02-RCP1","OC19","Week_6",8.71688311688312
"D02-RCP1","OC19","Week_7",4.16753246753247
"D02-RCP1","OC19","Week_8",1.37272727272727
"D02-RCP1","OC19","Week_9",-2.21883116883117
"D02-RCP1","JA20","Week_1",0.672727272727273
"D02-RCP1","JA20","Week_2",5.69480519480519
"D02-RCP1","JA20","Week_3",1.46688311688312
"D02-RCP1","JA20","Week_4",1.04155844155844
"D02-RCP1","JA20","Week_5",-4.66883116883117
"D02-RCP1","JA20","Week_6",0.0805194805194805
"D02-RCP1","JA20","Week_7",1.83766233766234
"D02-RCP1","JA20","Week_8",-1.0961038961039
"D02-RCP1","JA20","Week_9",-3.90714285714286
"D02-SCP1","JA18","Week_1",1.75714285714286
"D02-SCP1","JA18","Week_2",-13.4428571428571
"D02-SCP1","JA18","Week_3",-13.9428571428571
"D02-SCP1","JA18","Week_4",-1.07142857142857
"D02-SCP1","JA18","Week_5",-2.81428571428571
"D02-SCP1","JA18","Week_6",3.41428571428571
"D02-SCP1","JA18","Week_7",-5.21428571428571
"D02-SCP1","JA18","Week_8",-8.22857142857143
"D02-SCP1","JA18","Week_9",-1.15714285714286
"D02-SCP1","AP18","Week_1",1.51428571428571
"D02-SCP1","AP18","Week_2",4.18571428571429
"D02-SCP1","AP18","Week_3",0.0285714285714286
"D02-SCP1","AP18","Week_4",3.62857142857143
"D02-SCP1","AP18","Week_5",2.25714285714286
"D02-SCP1","AP18","Week_6",5.92857142857143
"D02-SCP1","AP18","Week_7",16.5571428571429
"D02-SCP1","AP18","Week_8",12.8428571428571
"D02-SCP1","AP18","Week_9",10.3285714285714
"D02-SCP1","JU18","Week_1",20.3714285714286
"D02-SCP1","JU18","Week_2",21.5285714285714
"D02-SCP1","JU18","Week_3",23.5428571428571
"D02-SCP1","JU18","Week_4",24.1714285714286
"D02-SCP1","JU18","Week_5",23.0571428571429
"D02-SCP1","JU18","Week_6",21.7428571428571
"D02-SCP1","JU18","Week_7",23.3571428571429
"D02-SCP1","JU18","Week_8",24.4142857142857
"D02-SCP1","JU18","Week_9",24.2571428571429
"D02-SCP1","OC18","Week_1",20.2333333333333
"D02-SCP1","OC18","Week_2",16.0428571428571
"D02-SCP1","OC18","Week_3",16.9142857142857
"D02-SCP1","OC18","Week_4",14.1142857142857
"D02-SCP1","OC18","Week_5",7.67142857142857
"D02-SCP1","OC18","Week_6",9
"D02-SCP1","OC18","Week_7",9.18571428571429
"D02-SCP1","OC18","Week_8",3.21428571428571
"D02-SCP1","OC18","Week_9",0.0714285714285715
"D02-SCP1","JA19","Week_1",2.25714285714286
"D02-SCP1","JA19","Week_2",2.2
"D02-SCP1","JA19","Week_3",2.62857142857143
"D02-SCP1","JA19","Week_4",-1.82857142857143
"D02-SCP1","JA19","Week_5",-3.98571428571429
"D02-SCP1","JA19","Week_6",-9.28571428571429
"D02-SCP1","JA19","Week_7",-8.95714285714286
"D02-SCP1","JA19","Week_8",-3.87142857142857
"D02-SCP1","JA19","Week_9",-2.84285714285714
"D02-SCP1","AP19","Week_1",4.11428571428571
"D02-SCP1","AP19","Week_2",3.87142857142857
"D02-SCP1","AP19","Week_3",6.6
"D02-SCP1","AP19","Week_4",7.64285714285714
"D02-SCP1","AP19","Week_5",8.74285714285714
"D02-SCP1","AP19","Week_6",10.0142857142857
"D02-SCP1","AP19","Week_7",7.4
"D02-SCP1","AP19","Week_8",8.78571428571429
"D02-SCP1","AP19","Week_9",12.5428571428571
"D02-SCP1","JU19","Week_1",14.3571428571429
"D02-SCP1","JU19","Week_2",21.6285714285714
"D02-SCP1","JU19","Week_3",23.5428571428571
"D02-SCP1","JU19","Week_4",22.9285714285714
"D02-SCP1","JU19","Week_5",26.5333333333333
"D02-SCP1","JU19","Week_6",23.1285714285714
"D02-SCP1","JU19","Week_7",22.2571428571429
"D02-SCP1","JU19","Week_8",23.8714285714286
"D02-SCP1","JU19","Week_9",23.0857142857143
"D02-SCP1","OC19","Week_1",21.9090909090909
"D02-SCP1","OC19","Week_2",19.0519480519481
"D02-SCP1","OC19","Week_3",16.9194805194805
"D02-SCP1","OC19","Week_4",12.0038961038961
"D02-SCP1","OC19","Week_5",10.9506493506493
"D02-SCP1","OC19","Week_6",8.71688311688312
"D02-SCP1","OC19","Week_7",4.16753246753247
"D02-SCP1","OC19","Week_8",1.37272727272727
"D02-SCP1","OC19","Week_9",-2.21883116883117
"D02-SCP1","JA20","Week_1",0.672727272727273
"D02-SCP1","JA20","Week_2",5.69480519480519
"D02-SCP1","JA20","Week_3",1.46688311688312
"D02-SCP1","JA20","Week_4",1.04155844155844
"D02-SCP1","JA20","Week_5",-4.66883116883117
"D02-SCP1","JA20","Week_6",0.0805194805194805
"D02-SCP1","JA20","Week_7",1.83766233766234
"D02-SCP1","JA20","Week_8",-1.0961038961039
"D02-SCP1","JA20","Week_9",-3.90714285714286
"D03-AFP1","JA18","Week_1",1.75714285714286
"D03-AFP1","JA18","Week_2",-13.4428571428571
"D03-AFP1","JA18","Week_3",-13.9428571428571
"D03-AFP1","JA18","Week_4",-1.07142857142857
"D03-AFP1","JA18","Week_5",-2.81428571428571
"D03-AFP1","JA18","Week_6",3.41428571428571
"D03-AFP1","JA18","Week_7",-5.21428571428571
"D03-AFP1","JA18","Week_8",-8.22857142857143
"D03-AFP1","JA18","Week_9",-1.15714285714286
"D03-AFP1","AP18","Week_1",1.51428571428571
"D03-AFP1","AP18","Week_2",4.18571428571429
"D03-AFP1","AP18","Week_3",0.0285714285714286
"D03-AFP1","AP18","Week_4",3.62857142857143
"D03-AFP1","AP18","Week_5",2.25714285714286
"D03-AFP1","AP18","Week_6",5.92857142857143
"D03-AFP1","AP18","Week_7",16.5571428571429
"D03-AFP1","AP18","Week_8",12.8428571428571
"D03-AFP1","AP18","Week_9",10.3285714285714
"D03-AFP1","JU18","Week_1",20.3714285714286
"D03-AFP1","JU18","Week_2",21.5285714285714
"D03-AFP1","JU18","Week_3",23.5428571428571
"D03-AFP1","JU18","Week_4",24.1714285714286
"D03-AFP1","JU18","Week_5",23.0571428571429
"D03-AFP1","JU18","Week_6",21.7428571428571
"D03-AFP1","JU18","Week_7",23.3571428571429
"D03-AFP1","JU18","Week_8",24.4142857142857
"D03-AFP1","JU18","Week_9",24.2571428571429
"D03-AFP1","OC18","Week_1",20.2333333333333
"D03-AFP1","OC18","Week_2",16.0428571428571
"D03-AFP1","OC18","Week_3",16.9142857142857
"D03-AFP1","OC18","Week_4",14.1142857142857
"D03-AFP1","OC18","Week_5",7.67142857142857
"D03-AFP1","OC18","Week_6",9
"D03-AFP1","OC18","Week_7",9.18571428571429
"D03-AFP1","OC18","Week_8",3.21428571428571
"D03-AFP1","OC18","Week_9",0.0714285714285715
"D03-AFP1","JA19","Week_1",2.25714285714286
"D03-AFP1","JA19","Week_2",2.2
"D03-AFP1","JA19","Week_3",2.62857142857143
"D03-AFP1","JA19","Week_4",-1.82857142857143
"D03-AFP1","JA19","Week_5",-3.98571428571429
"D03-AFP1","JA19","Week_6",-9.28571428571429
"D03-AFP1","JA19","Week_7",-8.95714285714286
"D03-AFP1","JA19","Week_8",-3.87142857142857
"D03-AFP1","JA19","Week_9",-2.84285714285714
"D03-AFP1","AP19","Week_1",4.11428571428571
"D03-AFP1","AP19","Week_2",3.87142857142857
"D03-AFP1","AP19","Week_3",6.6
"D03-AFP1","AP19","Week_4",7.64285714285714
"D03-AFP1","AP19","Week_5",8.74285714285714
"D03-AFP1","AP19","Week_6",10.0142857142857
"D03-AFP1","AP19","Week_7",7.4
"D03-AFP1","AP19","Week_8",8.78571428571429
"D03-AFP1","AP19","Week_9",12.5428571428571
"D03-AFP1","JU19","Week_1",14.3571428571429
"D03-AFP1","JU19","Week_2",21.6285714285714
"D03-AFP1","JU19","Week_3",23.5428571428571
"D03-AFP1","JU19","Week_4",22.9285714285714
"D03-AFP1","JU19","Week_5",26.5333333333333
"D03-AFP1","JU19","Week_6",23.1285714285714
"D03-AFP1","JU19","Week_7",22.2571428571429
"D03-AFP1","JU19","Week_8",23.8714285714286
"D03-AFP1","JU19","Week_9",23.0857142857143
"D03-AFP1","OC19","Week_1",21.9090909090909
"D03-AFP1","OC19","Week_2",19.0519480519481
"D03-AFP1","OC19","Week_3",16.9194805194805
"D03-AFP1","OC19","Week_4",12.0038961038961
"D03-AFP1","OC19","Week_5",10.9506493506493
"D03-AFP1","OC19","Week_6",8.71688311688312
"D03-AFP1","OC19","Week_7",4.16753246753247
"D03-AFP1","OC19","Week_8",1.37272727272727
"D03-AFP1","OC19","Week_9",-2.21883116883117
"D03-AFP1","JA20","Week_1",0.672727272727273
"D03-AFP1","JA20","Week_2",5.69480519480519
"D03-AFP1","JA20","Week_3",1.46688311688312
"D03-AFP1","JA20","Week_4",1.04155844155844
"D03-AFP1","JA20","Week_5",-4.66883116883117
"D03-AFP1","JA20","Week_6",0.0805194805194805
"D03-AFP1","JA20","Week_7",1.83766233766234
"D03-AFP1","JA20","Week_8",-1.0961038961039
"D03-AFP1","JA20","Week_9",-3.90714285714286
"D03-AMP1","JA18","Week_1",1.75714285714286
"D03-AMP1","JA18","Week_2",-13.4428571428571
"D03-AMP1","JA18","Week_3",-13.9428571428571
"D03-AMP1","JA18","Week_4",-1.07142857142857
"D03-AMP1","JA18","Week_5",-2.81428571428571
"D03-AMP1","JA18","Week_6",3.41428571428571
"D03-AMP1","JA18","Week_7",-5.21428571428571
"D03-AMP1","JA18","Week_8",-8.22857142857143
"D03-AMP1","JA18","Week_9",-1.15714285714286
"D03-AMP1","AP18","Week_1",1.51428571428571
"D03-AMP1","AP18","Week_2",4.18571428571429
"D03-AMP1","AP18","Week_3",0.0285714285714286
"D03-AMP1","AP18","Week_4",3.62857142857143
"D03-AMP1","AP18","Week_5",2.25714285714286
"D03-AMP1","AP18","Week_6",5.92857142857143
"D03-AMP1","AP18","Week_7",16.5571428571429
"D03-AMP1","AP18","Week_8",12.8428571428571
"D03-AMP1","AP18","Week_9",10.3285714285714
"D03-AMP1","JU18","Week_1",20.3714285714286
"D03-AMP1","JU18","Week_2",21.5285714285714
"D03-AMP1","JU18","Week_3",23.5428571428571
"D03-AMP1","JU18","Week_4",24.1714285714286
"D03-AMP1","JU18","Week_5",23.0571428571429
"D03-AMP1","JU18","Week_6",21.7428571428571
"D03-AMP1","JU18","Week_7",23.3571428571429
"D03-AMP1","JU18","Week_8",24.4142857142857
"D03-AMP1","JU18","Week_9",24.2571428571429
"D03-AMP1","OC18","Week_1",20.2333333333333
"D03-AMP1","OC18","Week_2",16.0428571428571
"D03-AMP1","OC18","Week_3",16.9142857142857
"D03-AMP1","OC18","Week_4",14.1142857142857
"D03-AMP1","OC18","Week_5",7.67142857142857
"D03-AMP1","OC18","Week_6",9
"D03-AMP1","OC18","Week_7",9.18571428571429
"D03-AMP1","OC18","Week_8",3.21428571428571
"D03-AMP1","OC18","Week_9",0.0714285714285715
"D03-AMP1","JA19","Week_1",2.25714285714286
"D03-AMP1","JA19","Week_2",2.2
"D03-AMP1","JA19","Week_3",2.62857142857143
"D03-AMP1","JA19","Week_4",-1.82857142857143
"D03-AMP1","JA19","Week_5",-3.98571428571429
"D03-AMP1","JA19","Week_6",-9.28571428571429
"D03-AMP1","JA19","Week_7",-8.95714285714286
"D03-AMP1","JA19","Week_8",-3.87142857142857
"D03-AMP1","JA19","Week_9",-2.84285714285714
"D03-AMP1","AP19","Week_1",4.11428571428571
"D03-AMP1","AP19","Week_2",3.87142857142857
"D03-AMP1","AP19","Week_3",6.6
"D03-AMP1","AP19","Week_4",7.64285714285714
"D03-AMP1","AP19","Week_5",8.74285714285714
"D03-AMP1","AP19","Week_6",10.0142857142857
"D03-AMP1","AP19","Week_7",7.4
"D03-AMP1","AP19","Week_8",8.78571428571429
"D03-AMP1","AP19","Week_9",12.5428571428571
"D03-AMP1","JU19","Week_1",14.3571428571429
"D03-AMP1","JU19","Week_2",21.6285714285714
"D03-AMP1","JU19","Week_3",23.5428571428571
"D03-AMP1","JU19","Week_4",22.9285714285714
"D03-AMP1","JU19","Week_5",26.5333333333333
"D03-AMP1","JU19","Week_6",23.1285714285714
"D03-AMP1","JU19","Week_7",22.2571428571429
"D03-AMP1","JU19","Week_8",23.8714285714286
"D03-AMP1","JU19","Week_9",23.0857142857143
"D03-AMP1","OC19","Week_1",21.9090909090909
"D03-AMP1","OC19","Week_2",19.0519480519481
"D03-AMP1","OC19","Week_3",16.9194805194805
"D03-AMP1","OC19","Week_4",12.0038961038961
"D03-AMP1","OC19","Week_5",10.9506493506493
"D03-AMP1","OC19","Week_6",8.71688311688312
"D03-AMP1","OC19","Week_7",4.16753246753247
"D03-AMP1","OC19","Week_8",1.37272727272727
"D03-AMP1","OC19","Week_9",-2.21883116883117
"D03-AMP1","JA20","Week_1",0.672727272727273
"D03-AMP1","JA20","Week_2",5.69480519480519
"D03-AMP1","JA20","Week_3",1.46688311688312
"D03-AMP1","JA20","Week_4",1.04155844155844
"D03-AMP1","JA20","Week_5",-4.66883116883117
"D03-AMP1","JA20","Week_6",0.0805194805194805
"D03-AMP1","JA20","Week_7",1.83766233766234
"D03-AMP1","JA20","Week_8",-1.0961038961039
"D03-AMP1","JA20","Week_9",-3.90714285714286
"D03-CHP1","JA18","Week_1",1.75714285714286
"D03-CHP1","JA18","Week_2",-13.4428571428571
"D03-CHP1","JA18","Week_3",-13.9428571428571
"D03-CHP1","JA18","Week_4",-1.07142857142857
"D03-CHP1","JA18","Week_5",-2.81428571428571
"D03-CHP1","JA18","Week_6",3.41428571428571
"D03-CHP1","JA18","Week_7",-5.21428571428571
"D03-CHP1","JA18","Week_8",-8.22857142857143
"D03-CHP1","JA18","Week_9",-1.15714285714286
"D03-CHP1","AP18","Week_1",1.51428571428571
"D03-CHP1","AP18","Week_2",4.18571428571429
"D03-CHP1","AP18","Week_3",0.0285714285714286
"D03-CHP1","AP18","Week_4",3.62857142857143
"D03-CHP1","AP18","Week_5",2.25714285714286
"D03-CHP1","AP18","Week_6",5.92857142857143
"D03-CHP1","AP18","Week_7",16.5571428571429
"D03-CHP1","AP18","Week_8",12.8428571428571
"D03-CHP1","AP18","Week_9",10.3285714285714
"D03-CHP1","JU18","Week_1",20.3714285714286
"D03-CHP1","JU18","Week_2",21.5285714285714
"D03-CHP1","JU18","Week_3",23.5428571428571
"D03-CHP1","JU18","Week_4",24.1714285714286
"D03-CHP1","JU18","Week_5",23.0571428571429
"D03-CHP1","JU18","Week_6",21.7428571428571
"D03-CHP1","JU18","Week_7",23.3571428571429
"D03-CHP1","JU18","Week_8",24.4142857142857
"D03-CHP1","JU18","Week_9",24.2571428571429
"D03-CHP1","OC18","Week_1",20.2333333333333
"D03-CHP1","OC18","Week_2",16.0428571428571
"D03-CHP1","OC18","Week_3",16.9142857142857
"D03-CHP1","OC18","Week_4",14.1142857142857
"D03-CHP1","OC18","Week_5",7.67142857142857
"D03-CHP1","OC18","Week_6",9
"D03-CHP1","OC18","Week_7",9.18571428571429
"D03-CHP1","OC18","Week_8",3.21428571428571
"D03-CHP1","OC18","Week_9",0.0714285714285715
"D03-CHP1","JA19","Week_1",2.25714285714286
"D03-CHP1","JA19","Week_2",2.2
"D03-CHP1","JA19","Week_3",2.62857142857143
"D03-CHP1","JA19","Week_4",-1.82857142857143
"D03-CHP1","JA19","Week_5",-3.98571428571429
"D03-CHP1","JA19","Week_6",-9.28571428571429
"D03-CHP1","JA19","Week_7",-8.95714285714286
"D03-CHP1","JA19","Week_8",-3.87142857142857
"D03-CHP1","JA19","Week_9",-2.84285714285714
"D03-CHP1","AP19","Week_1",4.11428571428571
"D03-CHP1","AP19","Week_2",3.87142857142857
"D03-CHP1","AP19","Week_3",6.6
"D03-CHP1","AP19","Week_4",7.64285714285714
"D03-CHP1","AP19","Week_5",8.74285714285714
"D03-CHP1","AP19","Week_6",10.0142857142857
"D03-CHP1","AP19","Week_7",7.4
"D03-CHP1","AP19","Week_8",8.78571428571429
"D03-CHP1","AP19","Week_9",12.5428571428571
"D03-CHP1","JU19","Week_1",14.3571428571429
"D03-CHP1","JU19","Week_2",21.6285714285714
"D03-CHP1","JU19","Week_3",23.5428571428571
"D03-CHP1","JU19","Week_4",22.9285714285714
"D03-CHP1","JU19","Week_5",26.5333333333333
"D03-CHP1","JU19","Week_6",23.1285714285714
"D03-CHP1","JU19","Week_7",22.2571428571429
