"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"cottontail_sp","AP20","S05-SFP0",2020-03-18,2020-05-14,"chil",-87.858986115,41.758854845,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S06-CBW0",2020-03-18,2020-05-14,"chil",-87.89252291,41.72879771,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S07-ARG1",2020-03-18,2020-05-14,"chil",-87.97052731,41.71888815,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S07-ARG2",2020-03-18,2020-05-14,"chil",-87.98063145,41.70899378,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S07-STJ1",2020-03-18,2020-05-14,"chil",-87.93211936,41.69819734,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S08-WGL1",2020-03-18,2020-05-14,"chil",-87.99914707,41.69378812,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S08-WGL3",2020-03-18,2020-05-14,"chil",-87.9590198557433,41.704560101191,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S09-KTP1",2020-03-18,2020-05-14,"chil",-88.03380771,41.6782417,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S09-SMC1",2020-03-18,2020-05-14,"chil",-88.01264245,41.65701595,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S09-VTW0",2020-03-18,2020-05-14,"chil",-88.05987667,41.67081215,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S10-ILC1",2020-03-18,2020-05-14,"chil",-88.06930047,41.63776364,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S10-LEW1",2020-03-18,2020-05-14,"chil",-88.07710241,41.5993927,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S10-LPC1",2020-03-18,2020-05-14,"chil",-88.04816511,41.5915763,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP20","S10-LPP0",2020-03-18,2020-05-14,"chil",-88.07212554,41.58289314,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","C04-MBP1",2020-06-17,2020-08-14,"chil",-87.57339472,41.71308499,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","C05-BMP1",2020-06-17,2020-08-14,"chil",-87.57510693,41.69479206,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","C05-BMP2",2020-06-17,2020-08-14,"chil",-87.56486107,41.6857457,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","C05-SPA1",2020-06-17,2020-08-14,"chil",-87.5635175470222,41.6680983277148,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","C06-HMP1",2020-06-17,2020-08-14,"chil",-87.56991671,41.65680784,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","D02-BMT1",2020-06-17,2020-08-14,"chil",-87.66977928,41.91433602,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","D02-HUP0",2020-06-17,2020-08-14,"chil",-87.69904915,41.90585734,4326,1,0,0,1,1,0,0,1,0
"cottontail_sp","JU20","D02-JBS1",2020-06-17,2020-08-14,"chil",-87.6399905,41.94889355,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D02-MBS2",2020-06-17,2020-08-14,"chil",-87.6330065420284,41.9636942061801,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D02-MOP1",2020-06-17,2020-08-14,"chil",-87.72430748,41.91858492,4326,0,0,0,0,0,0,NA,NA,NA
"cottontail_sp","JU20","D02-RCP1",2020-06-17,2020-08-14,"chil",-87.69329358,41.94109499,4326,1,1,1,1,1,1,1,1,1
"cottontail_sp","JU20","D02-SCP1",2020-06-17,2020-08-14,"chil",-87.68589743,41.92296839,4326,0,0,0,0,0,0,NA,NA,NA
"cottontail_sp","JU20","D03-AFP1",2020-06-17,2020-08-14,"chil",-87.71652991,41.94666256,4326,1,1,0,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D03-AMP1",2020-06-17,2020-08-14,"chil",-87.7482015,41.96850882,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D03-CHP1",2020-06-17,2020-08-14,"chil",-87.76234923,41.94245857,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D03-GOM1",2020-06-17,2020-08-14,"chil",-87.73063446,41.97527786,4326,1,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","D03-HOR1",2020-06-17,2020-08-14,"chil",-87.69473925,41.95758198,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D03-NPV1",2020-06-17,2020-08-14,"chil",-87.72834195,41.98593826,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D03-STB1",2020-06-17,2020-08-14,"chil",-87.66563918,41.96962066,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D04-DNP1",2020-06-17,2020-08-14,"chil",-87.78423327,41.96512952,4326,NA,NA,1,1,0,0,1,0,NA
"cottontail_sp","JU20","D04-EDW0",2020-06-17,2020-08-14,"chil",-87.7646423,41.99098007,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","D04-FGP1",2020-06-17,2020-08-14,"chil",-87.75452049,41.97728945,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D04-RDP1",2020-06-17,2020-08-14,"chil",-87.78559613,41.98961368,4326,0,0,0,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D04-ROS0",2020-06-17,2020-08-14,"chil",-87.68932042,41.98771934,4326,0,1,1,0,0,0,0,0,0
"cottontail_sp","JU20","D05-ADC2",2020-06-17,2020-08-14,"chil",-87.7944926152454,42.0021481597772,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D05-BRP1",2020-06-17,2020-08-14,"chil",-87.80710669,42.00945005,4326,1,1,1,1,1,1,1,1,NA
"cottontail_sp","JU20","D05-MIA1",2020-06-17,2020-08-14,"chil",-87.79567324,42.02421505,4326,0,0,0,0,0,NA,NA,NA,NA
"cottontail_sp","JU20","D05-PRC1",2020-06-17,2020-08-14,"chil",-87.8318759,42.02154012,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","D06-KCG1",2020-06-17,2020-08-14,"chil",-87.85328609,42.07983052,4326,0,0,0,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","D07-ASC0",2020-06-17,2020-08-14,"chil",-87.88662949,42.05985363,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","D07-NOC1",2020-06-17,2020-08-14,"chil",-87.87945486,42.09431792,4326,0,0,0,NA,0,0,0,0,0
"cottontail_sp","JU20","D08-CCC1",2020-06-17,2020-08-14,"chil",-87.92248236,42.15870422,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","D08-DAW0",2020-06-17,2020-08-14,"chil",-87.89377889,42.12577912,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","D08-DAW2",2020-06-17,2020-08-14,"chil",-87.90145123,42.13530185,4326,NA,NA,0,0,0,NA,NA,NA,NA
"cottontail_sp","JU20","D09-CLG0",2020-06-17,2020-08-14,"chil",-87.9176414,42.187657685,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D09-RYW1",2020-06-17,2020-08-14,"chil",-87.90419482,42.1775919,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D09-VTC1",2020-06-17,2020-08-14,"chil",-87.9292671,42.20377534,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","D10-CAN0",2020-06-17,2020-08-14,"chil",-87.93847762,42.24007189,4326,0,1,1,1,1,0,1,0,1
"cottontail_sp","JU20","D10-MAC1",2020-06-17,2020-08-14,"chil",-87.92753011,42.25476444,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","D10-VHC1",2020-06-17,2020-08-14,"chil",-87.94735573,42.22265299,4326,NA,NA,0,0,0,NA,NA,0,NA
"cottontail_sp","JU20","J01-BBS1",2020-06-17,2020-08-14,"chil",-87.61051042,41.84834938,4326,1,1,1,1,1,1,1,1,1
"cottontail_sp","JU20","J01-CLP1",2020-06-17,2020-08-14,"chil",-87.65219937,41.91328435,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","J01-LMP1",2020-06-17,2020-08-14,"chil",-87.61053666,41.83717173,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","J01-NOR1",2020-06-17,2020-08-14,"chil",-87.60790591,41.86080165,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","J01-SEP1",2020-06-17,2020-08-14,"chil",-87.63898576,41.90142019,4326,1,1,1,1,1,1,1,1,0
"cottontail_sp","JU20","J01-SKP1",2020-06-17,2020-08-14,"chil",-87.66100717,41.87989095,4326,NA,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","J01-UIC1",2020-06-17,2020-08-14,"chil",-87.6460853,41.86897406,4326,NA,0,0,0,0,0,1,NA,NA
"cottontail_sp","JU20","R02-DPG1",2020-06-17,2020-08-14,"chil",-87.69969807,41.86036917,4326,1,1,0,0,0,0,1,1,0
"cottontail_sp","JU20","R02-FRP1",2020-06-17,2020-08-14,"chil",-87.73276152,41.86167611,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R02-HRF1",2020-06-17,2020-08-14,"chil",-87.7135301798515,41.8687909871892,4326,NA,NA,NA,NA,1,1,1,1,0
"cottontail_sp","JU20","R03-AUP1",2020-06-17,2020-08-14,"chil",-87.76897765,41.88766256,4326,1,1,1,1,1,1,1,1,1
"cottontail_sp","JU20","R03-CPG1",2020-06-17,2020-08-14,"chil",-87.7721358,41.87566237,4326,0,0,0,0,0,1,1,1,1
"cottontail_sp","JU20","R03-EUC1",2020-06-17,2020-08-14,"chil",-87.79182537,41.86573343,4326,1,1,0,1,NA,NA,NA,NA,NA
"cottontail_sp","JU20","R03-MAP1",2020-06-17,2020-08-14,"chil",-87.80378089,41.86786605,4326,0,0,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","R04-MMW0",2020-06-17,2020-08-14,"chil",-87.83207106,41.85280337,4326,0,1,0,1,0,0,0,0,0
"cottontail_sp","JU20","R04-MMW3",2020-06-17,2020-08-14,"chil",-87.82763197,41.86356253,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R04-SCH1",2020-06-17,2020-08-14,"chil",-87.8484205,41.85567851,4326,1,1,1,1,0,0,1,0,NA
"cottontail_sp","JU20","R05-FMG1",2020-06-17,2020-08-14,"chil",-87.91280438,41.84824061,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R05-GOC1",2020-06-17,2020-08-14,"chil",-87.88292622,41.85757554,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R05-MTC1",2020-06-17,2020-08-14,"chil",-87.91060758,41.86915824,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","R05-STP1",2020-06-17,2020-08-14,"chil",-87.86937113,41.88326265,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","R06-OTB1",2020-06-17,2020-08-14,"chil",-87.97779673,41.85248376,4326,1,0,0,1,0,0,0,0,0
"cottontail_sp","JU20","R06-SLT2",2020-06-17,2020-08-14,"chil",-87.95678027,41.87464622,4326,0,0,0,1,0,0,0,0,0
"cottontail_sp","JU20","R06-YOW1",2020-06-17,2020-08-14,"chil",-87.93312143,41.85870532,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R07-FSP1",2020-06-17,2020-08-14,"chil",-88.02228432,41.85090748,4326,NA,0,0,0,0,NA,NA,NA,NA
"cottontail_sp","JU20","R07-GOF1",2020-06-17,2020-08-14,"chil",-88.04194649,41.8658981,4326,1,1,0,1,0,0,0,0,1
"cottontail_sp","JU20","R07-MMP1",2020-06-17,2020-08-14,"chil",-88.00296221,41.87405852,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","R07-YHR1",2020-06-17,2020-08-14,"chil",-87.98972335,41.86578813,4326,0,0,NA,NA,0,0,0,0,NA
"cottontail_sp","JU20","R08-DAP1",2020-06-17,2020-08-14,"chil",-88.07916556,41.87515101,4326,1,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R08-PAP1",2020-06-17,2020-08-14,"chil",-88.05904063,41.8561811,4326,0,0,NA,NA,0,0,0,0,NA
"cottontail_sp","JU20","R08-VLG1",2020-06-17,2020-08-14,"chil",-88.07091278,41.8521756,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R08-WBK1",2020-06-17,2020-08-14,"chil",-88.06135623,41.84175796,4326,0,0,0,0,0,0,NA,NA,NA
"cottontail_sp","JU20","R09-BLW1",2020-06-17,2020-08-14,"chil",-88.14724262,41.86309312,4326,NA,0,1,1,1,1,1,1,1
"cottontail_sp","JU20","R09-CTG0",2020-06-17,2020-08-14,"chil",-88.16212923,41.85014493,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R09-LIM0",2020-06-17,2020-08-14,"chil",-88.12305588,41.87106444,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R09-SMI1",2020-06-17,2020-08-14,"chil",-88.11233994,41.85279958,4326,NA,1,1,1,1,1,1,1,1
"cottontail_sp","JU20","R10-FRM1",2020-06-17,2020-08-14,"chil",-88.2632106,41.81899974,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R10-FRM2",2020-06-17,2020-08-14,"chil",-88.25455583,41.83329816,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","R10-WCP0",2020-06-17,2020-08-14,"chil",-88.2299927,41.88948618,4326,0,0,1,1,0,NA,NA,NA,NA
"cottontail_sp","JU20","R10-WDW0",2020-06-17,2020-08-14,"chil",-88.19222479,41.86593136,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","S02-BNS1",2020-06-17,2020-08-14,"chil",-87.59306926,41.81198992,4326,0,0,0,NA,0,0,1,0,0
"cottontail_sp","JU20","S02-BRI1",2020-06-17,2020-08-14,"chil",-87.69796061,41.829108,4326,0,0,NA,NA,0,0,0,NA,NA
"cottontail_sp","JU20","S02-MCP1",2020-06-17,2020-08-14,"chil",-87.67616828,41.82610396,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","S02-PIP1",2020-06-17,2020-08-14,"chil",-87.73000452,41.83325462,4326,NA,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","S02-PLP1",2020-06-17,2020-08-14,"chil",-87.64874972,41.84407767,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","S02-TNW1",2020-06-17,2020-08-14,"chil",-87.60065692,41.82389815,4326,0,0,0,0,0,0,0,NA,NA
"cottontail_sp","JU20","S03-JKP2",2020-06-17,2020-08-14,"chil",-87.58010698,41.78574236,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","S03-LCP1",2020-06-17,2020-08-14,"chil",-87.75085536,41.81401666,4326,0,0,0,0,1,0,0,0,0
"cottontail_sp","JU20","S03-PSP1",2020-06-17,2020-08-14,"chil",-87.73172978,41.7880381,4326,1,1,1,1,0,NA,NA,NA,NA
"cottontail_sp","JU20","S03-VIP1",2020-06-17,2020-08-14,"chil",-87.7478189,41.80241759,4326,1,1,1,1,1,0,1,1,0
"cottontail_sp","JU20","S03-WAP1",2020-06-17,2020-08-14,"chil",-87.71888828,41.81169474,4326,1,1,1,1,1,1,1,0,0
"cottontail_sp","JU20","S04-HAP1",2020-06-17,2020-08-14,"chil",-87.77935426,41.7803347,4326,0,0,0,0,0,0,NA,NA,NA
"cottontail_sp","JU20","S04-OTW1",2020-06-17,2020-08-14,"chil",-87.80373503,41.81511794,4326,0,0,1,0,0,0,0,0,0
"cottontail_sp","JU20","S04-SSP1",2020-06-17,2020-08-14,"chil",-87.79732651,41.79931501,4326,NA,0,1,1,1,1,0,NA,NA
"cottontail_sp","JU20","S05-LNC1",2020-06-17,2020-08-14,"chil",-87.84473133,41.74274601,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","S05-RES1",2020-06-17,2020-08-14,"chil",-87.82363466,41.76135893,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","S05-SFP0",2020-06-17,2020-08-14,"chil",-87.858986115,41.758854845,4326,1,1,0,0,0,0,0,0,0
"cottontail_sp","JU20","S06-CBW0",2020-06-17,2020-08-14,"chil",-87.89252291,41.72879771,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","S07-ARG1",2020-06-17,2020-08-14,"chil",-87.97052731,41.71888815,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","JU20","S07-ARG2",2020-06-17,2020-08-14,"chil",-87.98063145,41.70899378,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","S07-STJ1",2020-06-17,2020-08-14,"chil",-87.93211936,41.69819734,4326,1,1,0,0,0,0,0,0,0
"cottontail_sp","JU20","S08-WGL1",2020-06-17,2020-08-14,"chil",-87.99914707,41.69378812,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","JU20","S08-WGL3",2020-06-17,2020-08-14,"chil",-87.9590198557433,41.704560101191,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","S09-KTP1",2020-06-17,2020-08-14,"chil",-88.03380771,41.6782417,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","S09-SMC1",2020-06-17,2020-08-14,"chil",-88.01264245,41.65701595,4326,0,0,0,0,0,0,0,0,NA
"cottontail_sp","JU20","S09-VTW0",2020-06-17,2020-08-14,"chil",-88.05987667,41.67081215,4326,1,1,0,0,1,0,0,0,0
"cottontail_sp","JU20","S10-ILC1",2020-06-17,2020-08-14,"chil",-88.06930047,41.63776364,4326,0,0,0,NA,NA,0,0,0,0
"cottontail_sp","JU20","S10-LEW1",2020-06-17,2020-08-14,"chil",-88.07710241,41.5993927,4326,0,0,0,0,0,0,0,0,0
"cottontail_sp","JU20","S10-LPC1",2020-06-17,2020-08-14,"chil",-88.04816511,41.5915763,4326,NA,NA,0,0,0,0,0,0,0
"cottontail_sp","JU20","S10-LPP0",2020-06-17,2020-08-14,"chil",-88.07212554,41.58289314,4326,0,0,0,0,0,0,NA,NA,NA
"cottontail_sp","OC20","C04-MBP1",2020-09-17,2020-11-14,"chil",-87.57339472,41.71308499,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","C05-BMP1",2020-09-17,2020-11-14,"chil",-87.57510693,41.69479206,4326,NA,NA,0,1,0,0,0,0,NA
"cottontail_sp","OC20","C05-BMP2",2020-09-17,2020-11-14,"chil",-87.56486107,41.6857457,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","C05-SPA1",2020-09-17,2020-11-14,"chil",-87.5635175470222,41.6680983277148,4326,NA,NA,0,0,0,1,1,0,NA
"cottontail_sp","OC20","C06-HMP1",2020-09-17,2020-11-14,"chil",-87.56991671,41.65680784,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D02-BMT1",2020-09-17,2020-11-14,"chil",-87.66977928,41.91433602,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D02-HUP0",2020-09-17,2020-11-14,"chil",-87.69904915,41.90585734,4326,NA,NA,NA,1,1,1,1,NA,NA
"cottontail_sp","OC20","D02-JBS1",2020-09-17,2020-11-14,"chil",-87.6399905,41.94889355,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D02-MBS2",2020-09-17,2020-11-14,"chil",-87.6330065420284,41.9636942061801,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D02-MOP1",2020-09-17,2020-11-14,"chil",-87.72430748,41.91858492,4326,NA,NA,NA,1,1,1,1,NA,NA
"cottontail_sp","OC20","D02-RCP1",2020-09-17,2020-11-14,"chil",-87.69329358,41.94109499,4326,NA,NA,NA,NA,NA,1,0,NA,NA
"cottontail_sp","OC20","D02-SCP1",2020-09-17,2020-11-14,"chil",-87.68589743,41.92296839,4326,NA,NA,NA,0,0,0,0,NA,NA
"cottontail_sp","OC20","D03-AFP1",2020-09-17,2020-11-14,"chil",-87.71652991,41.94666256,4326,NA,NA,NA,0,1,1,0,NA,NA
"cottontail_sp","OC20","D03-AMP1",2020-09-17,2020-11-14,"chil",-87.7482015,41.96850882,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D03-CHP1",2020-09-17,2020-11-14,"chil",-87.76234923,41.94245857,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D03-GOM1",2020-09-17,2020-11-14,"chil",-87.73063446,41.97527786,4326,NA,NA,0,1,1,0,NA,NA,NA
"cottontail_sp","OC20","D03-HOR1",2020-09-17,2020-11-14,"chil",-87.69473925,41.95758198,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D03-NPV1",2020-09-17,2020-11-14,"chil",-87.72834195,41.98593826,4326,NA,NA,0,0,1,0,NA,NA,NA
"cottontail_sp","OC20","D03-STB1",2020-09-17,2020-11-14,"chil",-87.66563918,41.96962066,4326,NA,NA,NA,0,0,0,NA,NA,NA
"cottontail_sp","OC20","D04-DNP1",2020-09-17,2020-11-14,"chil",-87.78423327,41.96512952,4326,NA,NA,0,1,1,1,1,1,NA
"cottontail_sp","OC20","D04-EDW0",2020-09-17,2020-11-14,"chil",-87.7646423,41.99098007,4326,NA,NA,0,1,0,1,1,0,NA
"cottontail_sp","OC20","D04-FGP1",2020-09-17,2020-11-14,"chil",-87.75452049,41.97728945,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D04-RDP1",2020-09-17,2020-11-14,"chil",-87.78559613,41.98961368,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D04-ROS0",2020-09-17,2020-11-14,"chil",-87.68932042,41.98771934,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D05-ADC2",2020-09-17,2020-11-14,"chil",-87.7944926152454,42.0021481597772,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D05-BRP1",2020-09-17,2020-11-14,"chil",-87.80710669,42.00945005,4326,NA,NA,0,1,1,1,1,0,NA
"cottontail_sp","OC20","D05-MIA1",2020-09-17,2020-11-14,"chil",-87.79567324,42.02421505,4326,NA,NA,0,1,1,1,0,0,NA
"cottontail_sp","OC20","D05-PRC1",2020-09-17,2020-11-14,"chil",-87.8318759,42.02154012,4326,NA,NA,NA,NA,NA,1,1,0,NA
"cottontail_sp","OC20","D06-KCG1",2020-09-17,2020-11-14,"chil",-87.85328609,42.07983052,4326,NA,NA,NA,NA,NA,0,0,0,NA
"cottontail_sp","OC20","D07-ASC0",2020-09-17,2020-11-14,"chil",-87.88662949,42.05985363,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","D07-NOC1",2020-09-17,2020-11-14,"chil",-87.87945486,42.09431792,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D08-CCC1",2020-09-17,2020-11-14,"chil",-87.92248236,42.15870422,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D08-DAW0",2020-09-17,2020-11-14,"chil",-87.89377889,42.12577912,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D08-DAW2",2020-09-17,2020-11-14,"chil",-87.90145123,42.13530185,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D09-CLG0",2020-09-17,2020-11-14,"chil",-87.9176414,42.187657685,4326,NA,NA,NA,NA,NA,0,0,0,NA
"cottontail_sp","OC20","D09-RYW1",2020-09-17,2020-11-14,"chil",-87.90419482,42.1775919,4326,NA,NA,0,1,0,0,0,0,NA
"cottontail_sp","OC20","D09-VTC1",2020-09-17,2020-11-14,"chil",-87.9292671,42.20377534,4326,NA,NA,0,0,0,0,0,0,NA
"cottontail_sp","OC20","D10-CAN0",2020-09-17,2020-11-14,"chil",-87.93847762,42.24007189,4326,NA,NA,0,0,0,0,NA,NA,NA
"cottontail_sp","OC20","D10-MAC1",2020-09-17,2020-11-14,"chil",-87.92753011,42.25476444,4326,NA,NA,0,0,0,0,NA,NA,NA
"cottontail_sp","OC20","D10-VHC1",2020-09-17,2020-11-14,"chil",-87.94735573,42.22265299,4326,NA,NA,0,1,0,1,1,0,NA
"cottontail_sp","OC20","J01-BBS1",2020-09-17,2020-11-14,"chil",-87.61051042,41.84834938,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","J01-CLP1",2020-09-17,2020-11-14,"chil",-87.65219937,41.91328435,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","J01-LMP1",2020-09-17,2020-11-14,"chil",-87.61053666,41.83717173,4326,NA,NA,0,0,0,1,1,NA,NA
"cottontail_sp","OC20","J01-NOR1",2020-09-17,2020-11-14,"chil",-87.60790591,41.86080165,4326,NA,NA,1,1,1,NA,NA,NA,NA
"cottontail_sp","OC20","J01-SEP1",2020-09-17,2020-11-14,"chil",-87.63898576,41.90142019,4326,NA,NA,NA,1,1,1,1,NA,NA
"cottontail_sp","OC20","J01-SKP1",2020-09-17,2020-11-14,"chil",-87.66100717,41.87989095,4326,NA,NA,NA,NA,0,0,0,NA,NA
"cottontail_sp","OC20","J01-UIC1",2020-09-17,2020-11-14,"chil",-87.6460853,41.86897406,4326,NA,NA,NA,0,0,0,0,0,NA
"cottontail_sp","OC20","R02-DPG1",2020-09-17,2020-11-14,"chil",-87.69969807,41.86036917,4326,NA,NA,NA,1,1,1,1,1,NA
"cottontail_sp","OC20","R02-FRP1",2020-09-17,2020-11-14,"chil",-87.73276152,41.86167611,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","R02-HRF1",2020-09-17,2020-11-14,"chil",-87.7135301798515,41.8687909871892,4326,NA,NA,NA,0,1,1,1,0,NA
"cottontail_sp","OC20","R03-AUP1",2020-09-17,2020-11-14,"chil",-87.76897765,41.88766256,4326,NA,NA,NA,1,1,1,0,NA,NA
"cottontail_sp","OC20","R03-CPG1",2020-09-17,2020-11-14,"chil",-87.7721358,41.87566237,4326,NA,NA,NA,1,0,1,0,0,NA
"cottontail_sp","OC20","R03-EUC1",2020-09-17,2020-11-14,"chil",-87.79182537,41.86573343,4326,NA,NA,NA,0,0,0,0,0,NA
"cottontail_sp","OC20","R03-MAP1",2020-09-17,2020-11-14,"chil",-87.80378089,41.86786605,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","OC20","R04-MMW0",2020-09-17,2020-11-14,"chil",-87.83207106,41.85280337,4326,NA,NA,NA,0,0,0,1,0,NA
"cottontail_sp","OC20","R04-MMW3",2020-09-17,2020-11-14,"chil",-87.82763197,41.86356253,4326,NA,NA,NA,1,1,1,1,0,NA
